LCA_CASE_EMPLOYER_NAME,LCA_CASE_EMPLOYER_CITY,LCA_CASE_EMPLOYER_POSTAL_CODE,LCA_CASE_JOB_TITLE,LCA_CASE_WAGE_RATE_FROM,CODE,SALARY RANGE
ONE KINGS LANE,SAN FRANCISCO,94107,QA ENGINEER,70000,C,50001 to 100000
"SMARTPLAY, INC.",SAN JOSE,95134,COMPUTER SYSTEM ANALYST,70000,C,50001 to 100000
MSRCOSMOS LLC.,PLEASANTON,94588,PROGRAMMER ANALYST,70000,C,50001 to 100000
"SMARTPLAY, INC.",SAN JOSE,95134,COMPUTER SYSTEM ANALYST,70000,C,50001 to 100000
"XAVIENT INFORMATION SYSTEMS, INC.",SIMI VALLEY,93065,DATA WAREHOUSE CONSULTANT,70000,C,50001 to 100000
"LASERWORDS U.S., INC.",SAN CARLOS,94070,SOFTWARE ENGINEER,70000,C,50001 to 100000
RUTHERFORD & CHEKENE,SAN FRANCISCO,94105,"PROFESSIONAL ENGINEER, STRUCTURAL DESIGN",70000,C,50001 to 100000
MLOGICA INC.,ORANGE,92868,SR. SYSTEMS ANALYST,70000,C,50001 to 100000
"RIOT GAMES, INC.",SANTA MONICA,90404,PRODUCT MANAGER I,70000,C,50001 to 100000
"EDGILE, INC.",SAN JOSE,95128-2500,ENGINEER,70000,C,50001 to 100000
COLLABERA SOLUTIONS PVT LTD FORMERLY GCI SOLUTIONS,PASADENA,91101,QA TESTER,70000,C,50001 to 100000
"ZERODESKTOP, INC.",PALO ALTO,94301,MOBILE GRAPHICS DESIGNER,70000,C,50001 to 100000
INMOBI INC.,SAN MATEO,94403,BUSINESS DEVELOPMENT MANAGER,70000,C,50001 to 100000
"MEX OKAYA-TN (USA), INC.",CHULA VISTA,91910,ENGINEER,70000,C,50001 to 100000
"ZERODESKTOP, INC.",PALO ALTO,94301,MOBILE SOFTWARE PROGRAMMER,70000,C,50001 to 100000
"INDEPENDENT ONLINE DISTRIBUTION ALLIANCE, INC.",SAN FRANCISCO,94107,SALES ACCOUNT MANAGER,70000,C,50001 to 100000
"BODHTREE SOLUTIONS,INC",FREMONT,94539,PROGRAMMER ANALYST,70000,C,50001 to 100000
IDEA SOLUTIONS INC.,SAN JOSE,95110,IT ANALYST,70000,C,50001 to 100000
"COMBUSTION ASSOCIATES, INC.",CORONA,92880,MECHANICAL ENGINEER,70000,C,50001 to 100000
AVERY DENNISON CORPORATION,PASADENA,91103,SENIOR FINANCIAL ANALYST,70000,C,50001 to 100000
INFOGAIN CORPORATION,LOS GATOS,95032,SOFTWARE ENGINEER,70000,C,50001 to 100000
"PERSISTENT SYSTEMS, INC.",SAN JOSE,95110,PROGRAMMER ANALYST,70000,C,50001 to 100000
"HISTOGEN, INC.",SAN DIEGO,92121,RESEARCH SCIENTIST,70000,C,50001 to 100000
"TWILIO, INC.",SAN FRANCISCO,94105,SALES ENGINEER,70000,C,50001 to 100000
"CHANGYOU.COM (US), INC.",SANTA CLARA,95054,WEB DEVELOPER,70000,C,50001 to 100000
360 DEGREE CUSTOMER INC,SAN JOSE,95134,SPEECH LANGUAGE PATHOLOGIST,70000,C,50001 to 100000
O'NEIL DATA SYSTEMS LLC,LOS ANGELES,90066,.NET PROGRAMMER & ANALYST,70000,C,50001 to 100000
"ZERODESKTOP, INC.",PALO ALTO,94301,MOBILE SOFTWARE PROGRAMMER,70000,C,50001 to 100000
KRG TECHNOLOGIES INC,VALENCIA,91355,PROGRAMMER ANALYST,70000,C,50001 to 100000
"CALSOFT LABS, INC.",SANTA CLARA,95054,TEST ENGINEER,70000,C,50001 to 100000
"LINDQUIST, VON HUSEN & JOYCE LLP",SAN FRANCISCO,94105,"STAFF ACCOUNTANT, AUDIT DEPARTMENT",70000,C,50001 to 100000
INFOBAHN SOFTWORLD INC,SAN JOSE,95131,PROGRAMMER ANALYST,70000,C,50001 to 100000
IDEO LLC,PALO ALTO,94301,INTERACTION DESIGNER,70000,C,50001 to 100000
"PRISTINE REHAB CARE, LLC",DIAMOND BAR,91765,SPEECH LANGUAGE PATHOLOGIST,70000,C,50001 to 100000
GS SOFT INC,SANTA CLARA,95054,PROGRAMMER ANALYST,70000,C,50001 to 100000
"GLAM MEDIA, INC.",BRISBANE,94005,SENIOR DESIGNER,70000,C,50001 to 100000
TECHSOPHY INC,DUBLIN,94568,PROGRAM MANAGEMENT ANALYST,70000,C,50001 to 100000
"COMPUTER TECHNOLOGY RESOURCES, INC.",IRVINE,92618,PROGRAMMER ANALYST,70000,C,50001 to 100000
"PROSPANCE, INC.",FREMONT,94538,PROGRAMMER ANALYST,70000,C,50001 to 100000
PACIFIC INVESTMENT MANAGEMENT COMPANY (PIMCO),NEWPORT BEACH,92660,SENIOR ACCOUNT ASSOCIATE,70000,C,50001 to 100000
COLLABERA SOLUTIONS PVT LTD FORMERLY GCI SOLUTIONS,PASADENA,91101,COMPUTER PROGRAMMER,70000,C,50001 to 100000
"SMARTPLAY, INC.",SAN JOSE,95134,COMPUTER SYSTEM ANALYST,70000,C,50001 to 100000
"XAVIENT INFORMATION SYSTEMS, INC.",SIMI VALLEY,93065,INFRASTRUCTURE OPERATIONS SPECIALIST,70000,C,50001 to 100000
"INFOVITY, INC.",FOSTER CITY,94404,PROGRAMMER ANALYST,70000,C,50001 to 100000
VANCEINFO TECHNOLOGIES INC.,SANTA CLARA,95054,COMPUTER PROGRAMMER,70000,C,50001 to 100000
COLLABERA SOLUTIONS PVT LTD FORMERLY GCI SOLUTIONS,PASADENA,91101,COMPUTER SYSTEMS ARCHITECT,70000,C,50001 to 100000
SOFTHQ,SAN DIEGO,92121,COMPUTER SYSTEMS ANALYSTS,70000,C,50001 to 100000
UST GLOBAL INC.,ALISO VIEJO,92656,SYSTEMS ANALYST,70000,C,50001 to 100000
PROVIDENCE PUBLICATIONS LLC,GRANITE BAY,95746,QUALITY ASSURANCE MANAGER (SOFTWARE),70000,C,50001 to 100000
OSI CONSULTING INC.,WOODLAND HILLS,91367,PRINCIPAL CONSULTANT,70000,C,50001 to 100000
SYNNEX CORPORATION,FREMONT,94538,SOFTWARE SYSTEM ENGINEER,70000,C,50001 to 100000
COLLABERA SOLUTIONS PVT LTD FORMERLY GCI SOLUTIONS,PASADENA,91101,BUSINESS ANALYST,70000,C,50001 to 100000
CUSTOMER CARE INC.,SAN RAMON,94583,JR. SOFTWARE ENGINEER,70000,C,50001 to 100000
DENTSU ATTIK LLC,SAN FRANCISCO,94105,PRODUCT SPECIALIST,70000,C,50001 to 100000
SHOEDAZZLECOM INC,SANTA MONICA,90404,GLOBAL SOURCING MANAGER,70000,C,50001 to 100000
"NGM BIOPHARMACEUTICALS, INC.",SOUTH SAN FRANCISCO,94080,RESEARCH ASSOCIATE,70000,C,50001 to 100000
"RICHRELEVANCE, INC.",SAN FRANCISCO,94111,SYSTEMS ADMINISTRATOR,70000,C,50001 to 100000
HEWLETT-PACKARD COMPANY,CUPERTINO,95014,TECHNOLOGY CONSULTANT,70000,C,50001 to 100000
"GSPANN TECHNOLOGIES, INC.",MILPITAS,95035,TECHNICAL CONSULTANT,70000,C,50001 to 100000
"COMPUSHARP, INC",SANTA CLARA,95054,ELECTRICAL ENGINEER,70000,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),70000,C,50001 to 100000
MAAN SYSTEMS INC,NEWARK,94560,COMPUTER PROGRAMMER/ANALYST,70000,C,50001 to 100000
"ELSEVIER, INC.",SAN DIEGO,92101,COMMERCIAL MANAGER,70000,C,50001 to 100000
CUSTOMER CARE INC.,SAN RAMON,94583,SOFTWARE ENGINEER,70000,C,50001 to 100000
"PERSISTENT SYSTEMS, INC.",SAN JOSE,95110,PROGRAMMER ANALYST,70000,C,50001 to 100000
"ROBOTEX, INC.",PALO ALTO,94304,SUPPLY CHAIN ENGINEER,70000,C,50001 to 100000
CUSTOMER CARE INC.,SAN RAMON,94583,SOFTWARE ENGINEER,70000,C,50001 to 100000
"PERSISTENT SYSTEMS, INC.",SAN JOSE,95110,PROGRAMMER ANALYST,70000,C,50001 to 100000
WEST COAST CONSULTING LLC,IRVINE,92618,PROGRAMMER ANALYST,70000,C,50001 to 100000
"PERFECT WORLD ENTERTAINMENT, INC.",FOSTER CITY,94404,GRAPHIC DESIGNER,70000,C,50001 to 100000
"BODHTREE SOLUTIONS,INC",FREMONT,94539,SYSTEMS ANALYST,70000,C,50001 to 100000
COLLABERA SOLUTIONS PVT LTD FORMERLY GCI SOLUTIONS,PASADENA,91101,TEST ANALYST,70000,C,50001 to 100000
"BROCADE COMMUNICATIONS SYSTEMS, INC.",SAN JOSE,95134,INSIDE SYSTEMS ENGINEER,70000,C,50001 to 100000
"NOREN PRODUCTS, INC.",MENLO PARK,94025,SALES THERMAL ENGINEER,70000,C,50001 to 100000
"J & S PACKAGING, INC.",SAN DIEGO,92123,RISK ANALYST,70000,C,50001 to 100000
"NIMBUS 01, LLC",LOMA LINDA,92354,PROJECT DEVELOPMENT COORDINATOR/ SALES ENGINEER,70000,C,50001 to 100000
COLLABERA SOLUTIONS PVT LTD FORMERLY GCI SOLUTIONS,PASADENA,91101,PROGRAMMER ANALYST,70000,C,50001 to 100000
"PRISTINE REHAB CARE, LLC",DIAMOND BAR,91765,SPEECH LANGUAGE PATHOLOGIST,70000,C,50001 to 100000
"E LA CARTE, INC.",PALO ALTO,94301,GRAPHIC DESIGNER,70000,C,50001 to 100000
IDEO LLC,PALO ALTO,94301,INTERACTION DESIGNER,70000,C,50001 to 100000
"BETA SOFT SYSTEMS, INC.",FREMONT,94538,PROGRAMMER ANALYST,70000,C,50001 to 100000
ASIAN AMERICANS FOR COMMUNITY INVOLVEMENT,SAN JOSE,95128,INTEGRATED BEHAVIORAL HEALTH PSYCHOLOGIST,70000,C,50001 to 100000
"INSPIRON, INC.",CANOGA PARK,91303,PROGRAMMER ANALYST,70000,C,50001 to 100000
"EVERYONE COUNTS, INC.",SAN DIEGO,92121,SOFTWARE ARCHITECT,70000,C,50001 to 100000
"PRISTINE REHAB CARE, LLC",DIAMOND BAR,91765,SPEECH LANGUAGE PATHOLOGIST,70000,C,50001 to 100000
VANCEINFO TECHNOLOGIES INC.,SANTA CLARA,95054,COMPUTER PROGRAMMER,70000,C,50001 to 100000
"SYSINTELLI, INC",SAN DIEGO,92126,SOFTWARE ENGINEER,70000,C,50001 to 100000
RAMBUS INC.,SUNNYVALE,94089,MTS - PRODUCT ENGINEERING,70000,C,50001 to 100000
"DEMAND SOLUTIONS GROUP, LLC",LOS GATOS,95032,INTEGRATION ARCHITECT,70000,C,50001 to 100000
PACIFIC INVESTMENT MANAGEMENT COMPANY (PIMCO),NEWPORT BEACH,92660,ATTRIBUTION ANALYST,70000,C,50001 to 100000
"ONLINE WARMONGER GROUP, INC.",LOS ANGELES,90025,SENIOR DESIGNER (COMPUTER GAMES),70000,C,50001 to 100000
"PERSISTENT SYSTEMS, INC.",SAN JOSE,95110,PROGRAMMER ANALYST,70000,C,50001 to 100000
CYPRESS SEMICONDUCTOR CORPORATION,"SAN JOSE,",95134,FORECAST ANALYST II,70000,C,50001 to 100000
"PIPELINE SOFTWARE, INC.",SANTA ANA,92705,SR. JAVA APPLICATION DEVELOPER,70000,C,50001 to 100000
"PHOTON INFOTECH, INC.",SAN JOSE,95112,TECHNICAL LEAD,70000,C,50001 to 100000
"BODHTREE SOLUTIONS,INC",FREMONT,94539,NETWORK ENGINEER,70000,C,50001 to 100000
FAIR ISAAC CORPORATION,SAN RAFAEL,94903,ANALYTIC SCIENCE - SCIENTIST II,70000,C,50001 to 100000
TECHASPECT SOLUTIONS INC.,FREMONT,94538,PROGRAMMER ANALYST,70000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,SOFTWARE DEVELOPER,70000,C,50001 to 100000
"CLAIMS SERVICES GROUP, INC.",SAN DIEGO,92128,SOFTWARE ENGINEER (SOFTWARE TEST ENGINEER- III),70000,C,50001 to 100000
"PERSISTENT SYSTEMS, INC.",SAN JOSE,95110,PROGRAMMER ANALYST,70000,C,50001 to 100000
"E LA CARTE, INC.",PALO ALTO,94301,GRAPHIC DESIGNER,70000,C,50001 to 100000
INTELIZIGN SOLUTIONS LLC,SANTA CLARA,95050,SOFTWARE ENGINEER,70000,C,50001 to 100000
INTELIZIGN SOLUTIONS LLC,SANTA CLARA,95050,SOFTWARE ENGINEER,70000,C,50001 to 100000
"AUBERGE RESORTS, LLC",MILL VALLEY,94941,CO-RESIDENT MANAGER,70000,C,50001 to 100000
"QUALYS, INC.",REDWOOD CITY,94065,WEB APPLICATION ENGINEER,70000,C,50001 to 100000
"AUBERGE RESORTS, LLC",MILL VALLEY,94941,CO-RESIDENT MANAGER,70000,C,50001 to 100000
"JAFEC USA, INC.",SAN JOSE,95110,JUNIOR ENGINEER,70000,C,50001 to 100000
THE UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,90089,ASSISTANT PROFESSOR OF RESEARCH,70000,C,50001 to 100000
"SHAY TECH, INC",IRVINE,92612,SOFTWARE ENGINEER,70000,C,50001 to 100000
"HEWLETT-PACKARD STATE & LOCAL ENTERPRISE SERVICES,",CUPERTINO,95014,SERVICES INFORMATION DEVELOPER,70000,C,50001 to 100000
"NIMBUS 01, LLC",LOMA LINDA,92354,PROJECT DEVELOPMENT COORDINATOR/ SALES ENGINEER,70000,C,50001 to 100000
COLLABERA SOLUTIONS PVT LTD FORMERLY GCI SOLUTIONS,PASADENA,91101,SYSTEMS ARCHITECT,70000,C,50001 to 100000
"SYSINTELLI, INC",SAN DIEGO,92126,MANAGEMENT ANALYST,70000,C,50001 to 100000
"RED 5 STUDIOS, INC.",LAGUNA HILLS,92653,GRAPHICS PROGRAMMER,70000,C,50001 to 100000
"ADCHEMY, INC.",FOSTER CITY,94404,UX DESIGNER,70000,C,50001 to 100000
DELTA PRODUCTS CORPORATION,FREMONT,94538,MEMBER OF R&D STAFF,70000,C,50001 to 100000
"INFOBAHN SOFTWORLD, INC",SAN JOSE,95131,PROGRAMMER ANALYST,70000,C,50001 to 100000
CRITEO CORPORATION,PALO ALTO,94301,INTEGRATION AND SUPPORT ANALYST,70000,C,50001 to 100000
"FLEXENERGY, INC.",IRVINE,92618,MARKET MANAGER - LANDFILLS,70000,C,50001 to 100000
"SYSINTELLI, INC.",SAN DIEGO,92126,COMPUTER PROGRAMMER,70000,C,50001 to 100000
APN SOFTWARE SERVICES INC.,NEWARK,94560,SOFTWARE VALIDATION ENGINEER,70000,C,50001 to 100000
"SMC NETWORKS, INC.",IRVINE,92618,SOFTWARE DEVELOPER,70000,C,50001 to 100000
LSI CORPORATION,MILPITAS,95035,DESIGN ENGINEER 2,70000,C,50001 to 100000
TIBCO SOFTWARE INC.,PALO ALTO,94304,SOFTWARE ENGINEER,70000,C,50001 to 100000
"SMARTPLAY, INC.",SAN JOSE,95134,COMPUTER SYSTEMS ANALYST,70000,C,50001 to 100000
"ALPINE ELECTRONICS RESEARCH OF AMERICA, INC.",TORRANCE,90501,SOFTWARE ENGINEER,70000,C,50001 to 100000
"ASTEELFLASH CALIFORNIA, INC",FREMONT,94539,TECHNICAL PROGRAM MANAGER,70000,C,50001 to 100000
"DERRY CASEY CONSTRUCTION, INC.",SAN FRANCISCO,94103-3501,CIVIL ENGINEER,70000,C,50001 to 100000
"STRATEGISM, INC.",FREMONT,94536,BUSINESS ANALYST,70000,C,50001 to 100000
CALIFORNIA HEART CENTERS GROUP,CITY OF INDUSTRY,91746,SOFTWARE ENGINEER,70000,C,50001 to 100000
APPLE INC,CUPERTINO,95014,ART DIRECTOR,70000,C,50001 to 100000
SYMBIOSYS INC.,CUPERTINO,95014,AIS SYSTEMS ENGINEER,70000,C,50001 to 100000
"FLEXTON, INC.",SANTA CLARA,95054,SYSTEMS ANALYST,70000,C,50001 to 100000
AB COMPUTING SYSTEMS,SANTA CLARA,95054,SYSTEMS ANALYST,70000,C,50001 to 100000
GLU MOBILE INC.,SAN MATEO,94404,SENIOR ACCOUNTANT,70000,C,50001 to 100000
GLU MOBILE INC.,SAN FRANCISCO,94105-2209,SENIOR ACCOUNTANT,70000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,PROGRAMMER ANALYST,70000,C,50001 to 100000
AB COMPUTING SYSTEMS,SANTA CLARA,95054,BUSINESS ANALYST,70000,C,50001 to 100000
"CITYGRID MEDIA, LLC",WEST HOLLYWOOD,90069,SOFTWARE ENGINEER,70000,C,50001 to 100000
"CITYGRID MEDIA, LLC",WEST HOLLYWOOD,90069,SOFTWARE ENGINEER,70000,C,50001 to 100000
"MATTSON TECHNOLOGY, INC.",FREMONT,94538,PROCESS ENGINEER,70000,C,50001 to 100000
ANRITSU COMPANY,MORGAN HILL,95037-2809,SOFTWARE ENGINEER,70000,C,50001 to 100000
"MARUTHI CONSULTING, INC",SANTA CLARA,95054-1827,DATABASE ADMINISTRATOR,70000,C,50001 to 100000
XAVOR CORPORATION,IRVINE,92618,SOFTWARE ENGINEER,70000,C,50001 to 100000
"THE LAXMI GROUP, INC",SANTA CLARA,95054,DATABASE ADMINISTRATOR,70000,C,50001 to 100000
"ASPIRE SYSTEMS, INC.",SAN JOSE,95110,SYSTEMS ANALYST,70000,C,50001 to 100000
"STRATASERV, INC.",SAN JOSE,95131,BUSINESS ANALYST,70000,C,50001 to 100000
BUGABOO AMERICAS,EL SEGUNDO,90245,DEMAND PLANNER,70000,C,50001 to 100000
"SYSINTELLI, INC",SAN DIEGO,92126,PROGRAMMER ANALYST,70000,C,50001 to 100000
"SANDLENET, INC.",FREMONT,94539,PROJECT MANAGER,70000,C,50001 to 100000
XAVOR CORPORATION,IRVINE,92618,SOFTWARE ENGINEER,70000,C,50001 to 100000
"DIGITAL CHOCOLATE, INC.",SAN MATEO,94402,COMPUTER PROGRAMMER,70000,C,50001 to 100000
MSRCOSMOS LLC.,PLEASANTON,94588,PROGRAMMER ANALYST,70000,C,50001 to 100000
NIAGARA BOTTLING LLC,ONTARIO,91761,PRODUCTION COMPLIANCE ENGINEER,70000,C,50001 to 100000
"AMTEX ENTERPRISES, INC.",SUNNYVALE,94089,SOFTWARE ENGINEER,70000,C,50001 to 100000
BREAKTIME STUDIOS INC.,SAN FRANCISCO,94104,DATA ANALYST (OPERATIONS RESEARCH ANALYST),70000,C,50001 to 100000
MSRCOSMOS LLC.,PLEASANTON,94588,PROGRAMMER ANALYST,70000,C,50001 to 100000
"@BUSINESS, INC.",PASADENA,91101,SOFTWARE ENGINEER,70000,C,50001 to 100000
UST GLOBAL INC.,ALISO VIEJO,92656,SYSTEMS ANALYST,70000,C,50001 to 100000
"MARVELL SEMICONDUCTOR, INC.",SANTA CLARA,95054,"ENGINEER, SOFTWARE",70000,C,50001 to 100000
HUTCHINSON AND BLOODGOOD LLP,GLENDALE,91203,SUPERVISOR AUDIT,70000,C,50001 to 100000
"SYSINTELLI, INC",SAN DIEGO,92126,COMPUTER PROGRAMMER,70000,C,50001 to 100000
"BRILLIANT SOFTWARE SOLUTIONS, INC.",FREMONT,94538,PROGRAMMER ANALYST,70000,C,50001 to 100000
QUID INC.,SAN FRANCISCO,94111,ANALYST MANAGER,70000,C,50001 to 100000
"PHARMAVITE, LLC",NORTHRIDGE,91325,"SR. BUYER, DIRECT PROCUREMENT",70000,C,50001 to 100000
"ROADWAY ENGINEERING WORKS, INC.",CERES,95307,ENGINEER / ESTIMATOR,70000,C,50001 to 100000
"ROADWAY ENGINEERING WORKS, INC.",CERES,95307,ENGINEER / ESTIMATOR,70000,C,50001 to 100000
"CIGNEX TECHNOLOGIES, INC.",SANTA CLARA,95054,SOFTWARE DEVELOPER,70000,C,50001 to 100000
"FORTINET, INC.",SUNNYVALE,94086,PRODUCTION ENGINEER I,70000,C,50001 to 100000
APPLE INC.,CUPERTINO,95014,ORG READINESS GLOBAL UAT SUPPORT ANALYST,70000,C,50001 to 100000
"DENKEN SOLUTIONS, INC.",NEWPORT BEACH,9261,SAP ABAP DEVELOPER,70000,C,50001 to 100000
"ROADWAY ENGINEERING WORKS, INC.",CERES,95307,ENGINEER / ESTIMATOR,70000,C,50001 to 100000
"FORTINET, INC.",SUNNYVALE,94086,PRODUCTION ENGINEER II,70000,C,50001 to 100000
CALIFORNIA HEART CENTERS GROUP,CITY OF INDUSTRY,91746,SOFTWARE DEVELOPER,70000,C,50001 to 100000
UST GLOBAL INC.,ALISO VIEJO,92656,SYSTEMS ANALYST,70000,C,50001 to 100000
UST GLOBAL INC.,ALISO VIEJO,92656,SYSTEMS ANALYST,70000,C,50001 to 100000
"INSPIRA, INC.",SAN JOSE,95117,PROGRAMMER ANALYST,70000,C,50001 to 100000
"INSPIRA, INC.",SAN JOSE,95117,PROGRAMMER ANALYST,70000,C,50001 to 100000
DELUXE MEDIA CREATIVE SERVICES INC.,HOLLYWOOD,90027,PIPELINE TECHNICAL DIRECTOR,70000,C,50001 to 100000
"TELENAV, INC.",SUNNYVALE,94085,DATABASE ADMINISTRATOR,70000,C,50001 to 100000
"CREAMOS SOLUTIONS, INC.",SAN JOSE,95110,PROGRAMMER ANALYST,70000,C,50001 to 100000
KLNTEK,ARCADIA,91006,SOFTWARE ENGINEER,70000,C,50001 to 100000
TEKRELIANCE LLC,SAN RAMON,94583,COMPUTER PROGRAMMER,70000,C,50001 to 100000
"INFOBAHN SOFTWORLD, INC",SAN JOSE,95131,PROGRAMMER ANALYST,70000,C,50001 to 100000
TEKRELIANCE LLC,SAN RAMON,94583,COMPUTER PROGRAMMER,70000,C,50001 to 100000
"PROSPANCE, INC.",FREMONT,94538,PROGRAMMER ANALYST,70000,C,50001 to 100000
XAVOR CORPORATION,IRVINE,92618,SOFTWARE ENGINEER,70000,C,50001 to 100000
CREAMOS SOLUTIONS INC,SAN JOSE,95110,PROGRAMMER ANALYST,70000,C,50001 to 100000
"RJT COMPUQUEST, INC.",TORRANCE,90505,SOFTWARE DEVELOPER,70000,C,50001 to 100000
"XAVIENT INFORMATION SYSTEMS, INC.",SIMI VALLEY,93065,PROJECT LEAD,70000,C,50001 to 100000
"PLATINUM GROUP OF COMPANIES, INC.",CHATSWORTH,91311,QA ENGINEER,70000,C,50001 to 100000
SOFTSOL RESOURCES INC.,FREMONT,94538,NETWORK ANALYST,70000,C,50001 to 100000
"SKORUZ TECHNOLOGIES, INC",FULLERTON,92831,EBS DATA ANALYST,70000,C,50001 to 100000
"PHARMAVITE, LLC",NORTHRIDGE,91325,"SR. BUYER, DIRECT PROCUREMENT",70000,C,50001 to 100000
UNKNOWN WORLDS ENTERTAINMENT INC.,SAN FRANCISCO,94103,BUSINESS ADMINISTRATOR,70000,C,50001 to 100000
"DATAGUISE, INC",FREMONT,94538,SYSTEMS ANALYST,70000,C,50001 to 100000
"PROSWIFT  CONSULTING, LLC",FREMONT,94538,SYSTEMS ADMIN,70000,C,50001 to 100000
QUALCOMM INCORPORATED,SAN DIEGO,92121,SENIOR ORACLE DATABASE ADMINISTRATOR,70000,C,50001 to 100000
"INTELLISWIFT SOFTWARE, INC.",FREMONT,94538,PROGRAMMER ANALYST,70000,C,50001 to 100000
"WEST COAST CONSULTING, LLC",IRVINE,92618,COMPUTER SYSTEMS ANALYST,70000,C,50001 to 100000
"DERRY CASEY CONSTRUCTION, INC.",SAN FRANCISCO,94118,CIVIL ENGINEER,70000,C,50001 to 100000
QUALCOMM INCORPORATED,SAN DIEGO,92121,SENIOR IT/NETWORK ENGINEER,70000,C,50001 to 100000
GOOGLE INC.,MOUNTAIN VIEW,94043,CSAT SURVEY SPECIALIST,70000,C,50001 to 100000
"GLOBAL SOFT SOLUTIONS, INC.",SAN JOSE,95117,PROGRAMMER ANALYST,70000,C,50001 to 100000
XAVOR CORPORATION,IRVINE,92618,SR. SOFTWARE ENGINEER,70000,C,50001 to 100000
THE SPHERE INSTITUTE,BURLINGAME,94010,FINANCIAL OPERATIONS MANAGER,70000,C,50001 to 100000
"SYSINTELLI, INC",SAN DIEGO,92126,PROGRAMMER ANALYST,70000,C,50001 to 100000
WEST COAST CONSULTING LLC,IRVINE,92618,PROGRAMMER ANALYST,70000,C,50001 to 100000
"GLOBAL EDGE SOFTWARE, INC.",MILPITAS,95035,COMPUTER PROGRAMMER,70000,C,50001 to 100000
"AGILENT TECHNOLOGIES, INC.",SANTA CLARA,95051,IT SOLUTIONS ASSOCIATE,70000,C,50001 to 100000
"INTELLISWIFT SOFTWARE, INC.",FREMONT,94538,PROGRAMMER ANALYST,70000,C,50001 to 100000
MOTIVO ENGINEERING LLC,TORRANCE,90502,ELECTRICAL ENGINEER,70000,C,50001 to 100000
"ALPHAVISTA SERVICES, INC.",SUNNYVALE,94086,SPEECH LANGUAGE PATHOLOGIST,70000,C,50001 to 100000
"TEKVALLEY CORPORATION,INC.",PLEASANTON,94588,PROGRAMMER ANALYST,70000,C,50001 to 100000
"TELEPLAN HOLDING USA, INC.",ROSEVILLE,95678,PROGRAMMER,70000,C,50001 to 100000
"EXADEL, INC.",CONCORD,94520,COMPUTER PROGRAMMER,70000,C,50001 to 100000
"THE BOARD OF TRUSTEES OF THE LELAND STANFORD, JR.",STANFORD,94305,PHYSICAL SCIENCES RESEARCH ASSOCIATE,70000,C,50001 to 100000
"DENKEN SOLUTIONS, INC.",NEWPORT BEACH,9261,SAP ABAP DEVELOPER,70000,C,50001 to 100000
"SYSINTELLI, INC",SAN DIEGO,92126,PROGRAMMER ANALYST,70000,C,50001 to 100000
"ALPHAVISTA SERVICES, INC.",SUNNYVALE,94086,SPEECH LANGUAGE PATHOLOGIST,70000,C,50001 to 100000
"ADDMIRED, INC.",PALO ALTO,94301,ANIMATOR,70000,C,50001 to 100000
UST GLOBAL INC.,ALISO VIEJO,92656,SYSTEMS ANALYST,70000,C,50001 to 100000
"SYNERTECH, INC.",ORANGE,92867,COMPUTER PROGRAMMER,70000,C,50001 to 100000
QUALCOMM INCORPORATED,SAN DIEGO,92121,SENIOR DATABASE ADMINISTRATOR,70000,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),70000,C,50001 to 100000
"FUJITSU SEMICONDUCTOR WIRELESS PRODUCTS, INC.",TEMPE,85284,FIRMWARE ENGINEER,70000,C,50001 to 100000
GENERAL NETWORKS CORPORATION,GLENDALE,91208,COMPUTER NETWORK SUPPORT SPECIALIST,70000,C,50001 to 100000
"CIGNEX TECHNOLOGIES, INC.",SANTA CLARA,95054,SOFTWARE DEVELOPER,70000,C,50001 to 100000
T.Y. LIN INTERNATIONAL,SAN FRANCISCO,94105,BRIDGE DESIGNER,70000,C,50001 to 100000
"PARIKH CONSULTANTS, INC.",SAN JOSE,95131,STAFF ENGINEER,70000,C,50001 to 100000
"GSPANN TECHNOLOGIES, INC.",MILPITAS,95035,TECHNICAL CONSULTANT,70000,C,50001 to 100000
"TEKVALLEY CORPORATION,INC.",PLEASANTON,94588,PROGRAMMER ANALYST,70000,C,50001 to 100000
"PARIKH CONSULTANTS, INC.",SAN JOSE,95131,STAFF ENGINEER,70000,C,50001 to 100000
WEST COAST CONSULTING LLC,IRVINE,92618,PROGRAMMER ANALYST,70000,C,50001 to 100000
WESTERN UNIVERSITY OF HEALTH SCIENCES,POMONA,91766,INSTRUCTOR,70000,C,50001 to 100000
MOTIVO ENGINEERING LLC,TORRANCE,90502,ELECTRICAL ENGINEER,70000,C,50001 to 100000
"ORACLE AMERICA, INC.",REDWOOD SHORES,94065,SOFTWARE ENGINEER (SOFTWARE DEVELOPER 2),70000,C,50001 to 100000
"MSRCOSMOS, LLC",PLEASANTON,94588,COMPUTER PROGRAMMERS,70000,C,50001 to 100000
